id;created;balance;status
2bb720d0-1664-43bc-820c-1630498729d9;2023-03-24;378;ACTIVATED
7f993035-59a0-44f0-b5a3-4bb59b6b7c72;2023-03-23;50180;SUSPENDED
58f45e98-ba41-4d03-835c-611d784889f0;2023-03-23;93593;ACTIVATED
26b92741-3299-4660-bbf0-274fab9b07a6;2023-03-24;94647;SUSPENDED
1a0f7d5b-e598-4721-b3c5-7c69a10c1c0f;2023-03-23;43076;ACTIVATED
0f56835b-1938-484c-9157-9381cd699bb3;2023-03-23;652;ACTIVATED
b84746ca-e426-4122-8e21-29a59b7f7775;2023-03-23;97558;SUSPENDED
55f93e00-d9e9-4a03-8c9c-f36591eb463a;2023-03-24;28764;ACTIVATED
28c5e6ce-1f7f-485a-9e5b-ff34de0b63ea;2023-03-24;17217;SUSPENDED
729737f8-284a-40d4-bec7-d28f62abbd30;2023-03-24;96315;ACTIVATED
